Rank,College,G,AB,TB,SLG PCT
235,FIU ,55,"1,400",472,0.337
236,Alabama A&M ,38,944,316,0.335
237,Ga. Southern ,63,"1,681",562,0.334
238,Evansville ,53,"1,379",460,0.334
239,Morgan St. ,43,"1,038",346,0.333
240,Bucknell ,51,"1,282",426,0.332
241,Western Mich. ,49,"1,289",427,0.331
242,Rider ,49,"1,237",409,0.331
243,Indiana ,54,"1,377",455,0.330
244,Mount St. Mary's ,46,"1,133",372,0.328
245,New Mexico ,56,"1,427",468,0.328
246,Texas St. ,56,"1,486",483,0.325
247,Bowling Green ,51,"1,268",411,0.324
248,Illinois ,49,"1,256",406,0.323
249,UNCW ,53,"1,372",439,0.320
250,Wagner ,49,"1,274",407,0.319
251,La.-Monroe ,54,"1,278",408,0.319
252,Middle Tenn. ,54,"1,299",414,0.319
253,Rhode Island ,47,"1,196",379,0.317
254,Detroit Mercy ,50,"1,225",386,0.315
255,South Carolina St. ,43,"1,072",337,0.314
256,Villanova ,52,"1,422",447,0.314
257,San Diego ,53,"1,436",451,0.314
258,Tennessee St. ,49,"1,207",379,0.314
259,Buffalo ,48,"1,242",389,0.313
260,Oakland ,31,851,266,0.313
261,Ark.-Pine Bluff ,42,"1,002",311,0.310
262,A&M-Corpus Christi ,50,"1,318",403,0.306
263,Southern Miss. ,55,"1,384",422,0.305
264,Cal Poly ,54,"1,389",422,0.304
265,Wright St. ,56,"1,358",411,0.303
266,Saint Mary's ,51,"1,301",391,0.301
267,Samford ,52,"1,321",397,0.301
268,Kent St. ,49,"1,312",392,0.299
269,UC Davis ,52,"1,331",397,0.298
270,Howard ,36,809,241,0.298
271,Brown ,38,947,281,0.297
272,UCF ,54,"1,340",397,0.296
273,North Dakota ,40,977,288,0.295
274,Florida A&M ,52,"1,288",379,0.294
275,UT Arlington ,53,"1,392",409,0.294
276,Memphis ,60,"1,577",463,0.294
277,Maine ,47,"1,272",373,0.293
278,Utah St. ,54,"1,365",399,0.292
279,SFA ,48,"1,178",340,0.289
280,CSU Bakersfield ,49,"1,181",339,0.287
281,Weber St. ,48,"1,219",349,0.286
282,Hartford ,55,"1,418",392,0.276
283,N.C. Central ,49,"1,112",306,0.275
284,Southern U. ,48,"1,100",300,0.273
285,George Mason ,55,"1,425",387,0.272
286,Drexel ,50,"1,295",337,0.260
287,Santa Clara ,54,"1,261",328,0.260
288,Lafayette ,53,"1,287",333,0.259
289,Alcorn ,41,936,239,0.255
