Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
259,Bryant,Northeast,12-36-0,5-19-0,0-12-0,7-5-0,0-0-0
260,Columbia,Ivy League,16-32-0,5-14-0,3-8-0,8-10-0,0-0-0
261,Iona,Metro Atlantic,13-33-0,4-17-0,4-9-0,5-7-0,0-0-0
262,North Dakota,Big Sky,17-37-0,5-17-0,8-12-0,4-8-0,0-0-0
263,Santa Clara,West Coast,10-41-0,2-13-0,2-11-0,6-17-0,0-0-0
264,UMass Lowell,America East,11-39-0,6-12-0,3-18-0,2-9-0,0-0-0
265,Mississippi Val.,Southwestern,15-29-0,5-7-0,5-13-0,4-7-0,1-2-0
266,Northern Colo.,Big Sky,9-33-0,2-18-0,3-4-0,3-10-0,1-1-0
267,Tennessee St.,OVC,10-45-0,3-23-0,1-2-0,5-20-0,1-0-0
268,Northern Ky.,Horizon,13-40-0,2-15-0,7-13-0,4-12-0,0-0-0
269,Austin Peay,OVC,9-38-0,4-18-0,0-8-0,5-12-0,0-0-0
270,Oakland,Horizon,13-31-0,6-16-0,3-7-0,3-8-0,1-0-0
271,Morgan St.,Mid-Eastern,13-28-0,6-8-0,4-13-0,3-7-0,0-0-0
272,Hampton,Mid-Eastern,20-28-0,6-10-0,5-7-0,9-11-0,0-0-0
273,Holy Cross,Patriot,8-36-0,3-14-0,4-11-0,1-11-0,0-0-0
274,N.C. A&T,Mid-Eastern,17-32-0,4-14-0,1-9-0,12-9-0,0-0-0
275,Lafayette,Patriot,13-32-0,5-22-0,3-2-0,5-8-0,0-0-0
276,Jackson St.,Southwestern,8-28-0,3-13-0,3-6-0,2-9-0,0-0-0
277,Hartford,America East,6-45-0,1-17-0,3-14-0,2-14-0,0-0-0
278,Niagara,Metro Atlantic,10-38-0,3-22-0,2-7-0,5-9-0,0-0-0
279,IPFW,Summit League,11-40-0,3-14-0,7-17-0,1-9-0,0-0-0
280,Norfolk St.,Mid-Eastern,18-25-0,5-11-0,4-3-0,9-11-0,0-0-0
281,Rhode Island,Atlantic 10,12-32-0,6-12-0,3-7-0,3-13-0,0-0-0
282,Sacred Heart,Northeast,13-34-2,4-16-1,4-10-0,5-8-1,0-0-0
283,Fairleigh Dickinson,Northeast,12-34-0,4-20-0,2-8-0,6-6-0,0-0-0
284,Alabama A&M,Southwestern,12-35-0,6-17-0,1-9-0,4-6-0,1-3-0
285,N.C. Central,Mid-Eastern,8-42-0,3-21-0,2-10-0,3-11-0,0-0-0
286,Rider,Metro Atlantic,8-42-0,4-13-0,1-11-0,3-18-0,0-0-0
287,Howard,Mid-Eastern,9-32-0,6-11-0,0-10-0,2-10-0,1-1-0
288,UMES,Mid-Eastern,11-30-0,5-20-0,3-3-0,3-7-0,0-0-0
289,South Carolina St.,Mid-Eastern,5-26-0,1-12-0,0-3-0,2-11-0,2-0-0
290,Saint Peter's,Metro Atlantic,1-42-0,1-22-0,0-5-0,0-15-0,0-0-0
291,Prairie View,Southwestern,10-28-0,4-16-0,0-5-0,4-7-0,2-0-0
292,Southern U.,Southwestern,12-20-0,3-9-0,1-4-0,5-4-0,3-3-0
293,Coppin St.,Mid-Eastern,5-31-0,1-16-0,0-2-0,4-13-0,0-0-0
294,Grambling,Southwestern,5-32-0,2-10-0,0-8-0,0-10-0,3-4-0
295,Ark.-Pine Bluff,Southwestern,15-36-0,3-16-0,1-5-0,4-7-0,7-8-0
